placeCode	title	sort	distance	location	time	callNum	비고
ICE	대학본부·국제지원센터	부속건물	-	"37.37675384692695, 126.63467161460859"	-	-	-
IPR	교수회관	부속건물	-	"37.3774956112546, 126.63369612930109"	-	-	-
IAD	홍보관	부속건물	-	"37.3771037523791, 126.6341285559317"	-	-	-
SC	정보전산원(BM컨텐츠관)	부속건물	-	"37.376407444235944, 126.63551687310286"	-	-	-
SF	자연과학대학·생명과학기술대학	부속건물	-	"37.3757955317388, 126.63483788738135"	-	-	-
ILB	학산도서관	부속건물	-	"37.37504193807397, 126.63422338636273"	-	-	-
SH	정보기술대학	부속건물	-	"37.37428532240969, 126.633874410446"	-	-	-
SI	공과대학	부속건물	-	"37.37350156905524, 126.63279334382356"	-	-	-
SJ	공동실험실습관	부속건물	-	"37.37269965290516, 126.63337707525069"	-	-	-
IGH	게스트하우스	부속건물	-	"37.372743804558326, 126.63200063120497"	-	-	-
IWL	복지회관	부속건물	-	"37.37443181639445, 126.63180201997407"	-	-	-
SM	컨벤션센터	부속건물	-	"37.37525334662471, 126.63254794447869"	-	-	-
SN	사회과학·글로벌법정경대학	부속건물	-	"37.37603152079982, 126.63333580085411"	-	-	-
SO	경영·동북아국제통상대학	부속건물	-	"37.37645482388357, 126.6328190691245"	-	-	-
SP	인문대학	부속건물	-	"37.37547387237361, 126.63197379810289"	-	-	-
SQ	예술체육대학	부속건물	-	"37.374741318820845, 126.63125611515741"	-	-	-
ISC	학생회관	부속건물	-	"37.37411522066834, 126.6306628305748"	-	-	-
IST1	제1기숙사	부속건물	-	"37.37382706967895, 126.62984697820592"	-	-	-
IST2	제2기숙사	부속건물	-	"37.37431695220386, 126.62890111550384"	-	-	-
IST3	제3기숙사	부속건물	-	"37.37339555749443, 126.62943984093197"	-	-	-
ST	국제교류관	부속건물	-	"37.37459798060035, 126.63026492648733"	-	-	-
SU	스포츠센터·골프연습장	부속건물	-	"37.374932626618765, 126.62965606503961"	-	-	-
SV	체육관	부속건물	-	"37.37546123641372, 126.6302327399911"	-	-	-
SW	학군단	부속건물	-	"37.37585769131607, 126.63079600388487"	-	-	-
SX	강당·공연장	부속건물	-	"37.37806830380753, 126.63246687366028"	-	-	-
ITP	전망타워	부속건물	-	"37.375940599494356, 126.63585711693173"	-	-	-
IKD	어린이집	부속건물	-	"37.375207095457995, 126.63612598119242"	-	-	-
IWA	온실	부속건물	-	"37.375212340994295, 126.63563483476668 "	-	-	-
SY1	제2공동실습관	부속건물	-	"37.372289555239504, 126.63305234061514"	-	-	-
SY2	도시과학대학	부속건물	-	" 37.37189194688155, 126.63267889677333"	-	-	-
SY3	생명공학부	부속건물	-	"37.37239419613075, 126.63120878472726"	-	-	-
ZB	테니스장	부속건물	-	"37.37490412213482, 126.62840524307212"	-	-	-
ZC	대운동장	부속건물	-	"37.37691563732022, 126.63098754813554"	-	-	-
ZB	테니스장	야외시설	-	"37.374897961751664, 126.62840084387571"	-	-	-
OFGF	골프장	야외시설	-	"37.375295911904814, 126.62906896947457"	-	-	-
OFSC	축구장	야외시설	-	"37.37592100023874, 126.62965638425848"	-	-	-
ZC	대운동장	야외시설	-	"37.37691563732022, 126.63098754813554"	-	-	-
OFBK16	농구장 (16호관 뒤)	야외시설	-	"37.37510882473138, 126.63081624640654"	-	-	-
OFBK8	농구장 (8호관 뒤)	야외시설	-	"37.373417366919135, 126.63406478545781"	-	-	-
SMK5	5호관 흡연실	흡연실	-	"37.37524200218825, 126.63482174481778"	-	-	-
SMK8	8호관 흡연실	흡연실	-	"37.373160212284255, 126.63320874477914"	-	-	-
SMK12	12호관 흡연실	흡연실	-	"37.37523650429609, 126.63296844615255"	-	-	-
SMK13	13호관 흡연실	흡연실	-	"37.37583141293141, 126.63355224071229"	-	-	-
SMK14	14호관 흡연실	흡연실	-	"37.37670965729843, 126.6328304531665"	-	-	-
SMK15	15호관 흡연실	흡연실	-	"37.37560369988173, 126.63178500139065"	-	-	-
SMK16	16호관 흡연실	흡연실	-	"37.37506119217609, 126.63104295928781"	-	-	-
SMK17	17호관 흡연실	흡연실	-	"37.37440631374881, 126.63046322038943"	-	-	-
SMKSTU2	제2기숙사 흡연실	흡연실	-	"37.37422210124061, 126.62951210678605"	-	-	-
SMK28	28호관 흡연실	흡연실	-	"37.37210668362165, 126.63256082621842"	-	-	-
SMK29	29호관 흡연실	흡연실	-	"37.37234731118057, 126.63086194324212"	-	-	-
