노드번호	갈수있는 노드	epsg3857	placeCode
484	"485,486,487"	"14096620.166506175,4491303.352751486"	-
485	486	"14096606.874958973,4491290.507582134"	-
486	"487,488,520"	"14096632.255802881,4491311.855505811"	-
487	"488,520"	"14096677.3290647,4491294.8359962255"	-
488	520	"14096710.48000906,4491267.674877122"	-
489	"490,491,520"	"14096708.086640004,4491337.237739224"	-
490	"491,520"	"14096740.925889786,4491313.046172125"	-
491	0	"14096757.946639936,4491296.92316094"	-
492	493	"14096664.805621985,4491214.669574069"	-
493	0	"14096657.046653476,4491204.513990238"	-
494	0	"14096792.66718911,4491565.666590985"	-
495	0	"14097051.540664952,4491599.412342461"	-
496	0	"14096452.886707362,4491537.005900873"	OFBK16
497	0	"14096525.734182138,4491633.298284983"	-
498	0	"14096706.539299082,4491885.155930748"	-
499	0	"14096634.727095578,4491878.725984165"	-
500	0	"14097031.992962372,4491678.082809094"	-
501	"502,504"	"14096827.165099312,4491559.545019619"	-
502	503	"14096800.59313685,4491522.507487705"	-
503	0	"14096718.328033153,4491422.195826387"	-
504	0	"14096766.99691454,4491576.915162766"	-
505	0	"14096750.276727017,4491879.3843881"	-
506	507	"14096786.110471103,4491820.562463148"	-
507	0	"14096813.87355211,4491804.438673165"	-
508	509	"14096592.036070857,4491128.438473724"	-
509	0	"14096606.674583893,4491116.195844004"	-
510	513	"14096750.276727017,4491151.130799942"	-
511	512	"14096688.171583105,4491093.5176007785"	SMK28
512	0	"14096716.235226732,4491088.138704069"	-
513	0	"14096782.225420874,4491128.438473724"	-
514	515	"14096923.901736807,4491561.394098006"	"SF,SMK5"
515	0	"14096946.889211658,4491592.142077999"	SF
516	0	"14096589.408930872,4491501.257192673"	-
517	0	"14096308.316084672,4491259.186166314"	-
518	0	"14096209.486640748,4491326.227557598"	-
519	0	"14096203.519916032,4491543.589727949"	ZB
520	0	"14096693.203224089,4491318.453199659"	"FOODGYO,CONGSENG"
521	0	"14096710.81396753,4491643.972589638"	CONGSSCL
522	0	"14096903.67498533,4491308.087398021"	"CAFEPG,FACGOODS"
523	0	"14096725.196445744,4491541.460489806"	SMK12
524	0	"14096786.188394751,4491620.4106875155"	SMK13
525	0	"14096793.190390717,4491434.018572604"	-
