노드번호	갈수있는 노드	epsg3857	placeCode
111	"112,113"	"14096886.676499087,4491728.947165435"	-
112	114	"14096866.97294921,4491703.872169679"	-
113	"114,115"	"14096860.405099254,4491744.188309414"	-
114	"116,117,118,444"	"14096843.684911747,4491720.303989748"	-
115	"116,127,128,506,507"	"14096843.384349119,4491756.725847922"	-
116	"127,126,444,117,118"	"14096825.172480423,4491735.825289255"	-
117	"125,444,118,119"	"14096824.281924497,4491695.817365307"	-
118	"119,120,444"	"14096789.338736337,4491679.6797584295"	SN
119	"120,154,524"	"14096770.225179765,4491627.722996313"	-
120	154	"14096752.336137597,4491628.185268881"	SN
121	122	"14096732.03146248,4491638.635435954"	SN
122	"122,136,153,521"	"14096714.71014971,4491650.27631795"	-
123	"124,135"	"14096742.02795275,4491687.59446704"	-
124	"125,134"	"14096749.041080672,4491696.545799533"	-
125	"126,444,132"	"14096779.798655976,4491736.553726256"	-
126	"128,131"	"14096796.218280863,4491756.2635697"	-
127	"128,506,507"	"14096823.691931192,4491774.474545334"	-
128	"129,506,507"	"14096812.949600335,4491780.736326553"	-
129	"130,506,507"	"14096791.754369292,4491795.963537175"	-
130	"131,145"	"14096782.347872313,4491783.720129656"	-
131	132	"14096775.780022357,4491772.527370276"	-
132	"133,140"	"14096760.852078643,4491753.559942933"	-
133	"134,139"	"14096743.230203252,4491729.815685915"	-
134	"135,138"	"14096730.684496637,4491710.414076211"	-
135	136	"14096723.226090755,4491702.051082933"	-
136	"137,521"	"14096709.878883813,4491678.923308713"	SO
137	141	"14096687.993471917,4491693.393921025"	"SO,SMK14"
138	0	"14096715.455990296,4491713.103683503"	SO
139	142	"14096723.515521426,4491740.27996248"	SO
140	0	"14096742.918508675,4491753.71403563"	SO
141	"142,147,149,150,475"	"14096666.775976975,4491709.825724706"	-
142	148	"14096705.593083415,4491756.697831061"	-
143	"161,144,160,162,525"	"14096832.486170966,4491400.189304581"	-
144	445	"14096813.97373965,4491374.666839881"	-
145	146	"14096766.206546146,4491796.719995314"	-
146	0	"14096741.72739013,4491815.22521976"	-
147	414	"14096641.406265024,4491728.022611458"	-
148	"417,419,475"	"14096671.262152452,4491782.669494662"	-
149	"150,180,472"	"14096640.21514647,4491672.199313646"	-
