순번	대학(원)	학과(부)	학년	이수구분	학수번호	교과목명	교과목명(영문)	담당교수	강의실	시간표	수업방법관리	Teaching Method	학점
1327	사범대학	체육교육과	2	전공선택	0009509001	학교체육 정책 및 행정	School Physical Education Policy and Administration	유창완	제28호관 도시과학대학-418 강의실(교수협업강의실)[SY2418]	 [SY2418:화(0)(2)(3)]	오프라인	offline class	3
1328	사범대학	체육교육과	2	전공선택	HD06075001	종합실기(1)	SYNTHETIC PRACTICE(1)	박정준	제21호관 체육관-101A 메인플로어[SV101A]	 [SV101A:수(8)(9)]	오프라인	offline class	1
1329	사범대학	체육교육과	3	전공기초	0003151001	운동생리학	Exercise Physiology	신원태	제28호관 도시과학대학-418 강의실(교수협업강의실)[SY2418]	 [SY2418:화(5B-6)(7-8A)]	오프라인	offline class	3
1330	사범대학	체육교육과	3	전공필수	0002163001	태권도	Taekwondo	-	제20호관 스포츠센터-105 헬스장(GX룸)[SU105]	 [SU105:목(8)(9)]	오프라인	offline class	1
1331	사범대학	체육교육과	3	전공필수	0003566001	운동학습및심리	Motor Learning and psychology	양종현	제28호관 도시과학대학-418 강의실(교수협업강의실)[SY2418]	 [SY2418:수(0)(2)(3)]	오프라인	offline class	3
1332	사범대학	체육교육과	3	전공필수	0006698001	체육교수학습론	Teaching & Learning in Physical Education	박정준	제15호관 인문대학-113 강의실(교육대학원)[SP113]	 [SP113:화(0)(2)(3)]	오프라인	offline class	3
1333	사범대학	체육교육과	3	전공선택	0003560001	축구교수법	Method of Teaching  Soccer	유우람	대운동장본부석-102 잔디운동장[ZC102]	 [ZC102:월(1)(2)]	오프라인	offline class	1
1334	사범대학	체육교육과	3	전공선택	0003687001	배드민턴교수법	Method of Teaching  Badminton	최영아	제21호관 체육관-101A 메인플로어[SV101A]	 [SV101A:목(6)(7)]	오프라인	offline class	1
1335	사범대학	체육교육과	3	전공선택	HD06077001	종합실기(3)	SYNTHETIC PRACTICE(3)	양종현	제20호관 스포츠센터-105 헬스장(GX룸)[SU105]	 [SU105:수(8)(9)]	오프라인	offline class	1
1336	사범대학	체육교육과	3	전공선택	HF06009001	해양스포츠	MARINE SPORTS	유창완	제28호관 도시과학대학-418 강의실(교수협업강의실)[SY2418]	 [SY2418:목(8)(9)]	오프라인	offline class	1
1337	사범대학	체육교육과	4	전공필수	0006710001	체육학연구설계	Research Plan on Physical Education	양종현	제15호관 인문대학-113 강의실(교육대학원)[SP113]	 [SP113:수(5)(6)]	오프라인	offline class	2
1338	사범대학	체육교육과	4	전공선택	0006741001	스포츠교육학총론	Introduction to Sport Pedagogy	박정준	제15호관 인문대학-113 강의실(교육대학원)[SP113]	 [SP113:수(0)(2)(3)]	오프라인	offline class	3
1339	사범대학	체육교육과	4	전공선택	0007802010	진로설계세미나 I	Career - Design Seminar I	양종현	제28호관 도시과학대학-418 강의실(교수협업강의실)[SY2418]	 [SY2418:화(4)]	오프라인	offline class	1
1340	사범대학	체육교육과	4	전공선택	0009510001	운동동작분석	Sports motion analysis	양종현	제28호관 도시과학대학-418 강의실(교수협업강의실)[SY2418]	 [SY2418:월(6)(8)(9)]	오프라인	offline class	3
1341	사범대학	체육교육과	4	전공선택	HD06079001	종합실기(5)	SYNTHETIC PRACTICE(5)	유창완	대운동장본부석-102 잔디운동장[ZC102]	 [ZC102:수(8)(9)]	오프라인	offline class	1
1342	사범대학	유아교육과	1	전공기초	0002737001	유아교육론	INTRODUCTION TO EARLY CHILDHOOD EDUCATION	황성온	미추홀타워  별관A동-309 강의실[NC309]	" [NC309:수(4-5A),금(4-5A)]"	온라인(동영상+화상)+오프라인	online + offline class	3
1343	사범대학	유아교육과	1	전공기초	0007800013	자기설계세미나 I	Self - Design Seminar I	이시자	미추홀타워  별관A동-103 활동실[NC103]	 [NC103:화(7)]	온라인(동영상+화상)+오프라인	online + offline class	1
1344	사범대학	유아교육과	1	전공필수	0002738001	숲유치원교육론	EDUCATIONAL THEORIES OF FOREST KINDERGARTEN	오주은	"미추홀타워  별관A동-207 강의실[NC207], 미추홀타워  별관A동-309 강의실[NC309]"	 [NC207:화(2B-3)] [NC309:목(5B-6)]	온라인(동영상+화상)+오프라인	online + offline class	3
1345	사범대학	유아교육과	1	전공선택	0001304001	유아음악교육	Music Education for Young Children	김상림	미추홀타워  별관A동-103 활동실[NC103]	" [NC103:수(2B-3),목(4-5A)]"	온라인(동영상+화상)+오프라인	online + offline class	3
